scenario,target_id,condition,variant,selectable,tracking_pass,legacy_tracking_pass,preserved_legacy_pass,signed_margin,legacy_signed_margin,margin_delta_vs_legacy,post_arrival_velocity_rms,final_velocity
RZ_p10_m10__noise_medium_delay_1_s4501,RZ_p10_m10,noise_medium_delay_1_s4501,legacy_raw,False,True,True,True,0.07074553878647483,0.07074553878647483,0.0,0.08838591007570377,0.03917583159915351
RZ_p10_m10__noise_medium_delay_1_s4501,RZ_p10_m10,noise_medium_delay_1_s4501,r2_error_alpha_beta,False,True,True,True,0.045575585052877954,0.07074553878647483,-0.025169953733596873,0.07221455290643272,0.038349174954389255
RZ_p10_m10__noise_medium_delay_1_s4501,RZ_p10_m10,noise_medium_delay_1_s4501,control_aware_no_aw,True,True,True,True,0.037975331353969466,0.07074553878647483,-0.03277020743250536,0.0636581704122126,0.030178074513311674
RZ_p10_m10__noise_medium_delay_1_s4501,RZ_p10_m10,noise_medium_delay_1_s4501,control_aware_aw,True,True,True,True,0.09510095793900719,0.07074553878647483,0.024355419152532365,0.06641213446306815,0.026403766409974994
RZ_p10_m10__noise_medium_s4201,RZ_p10_m10,noise_medium_s4201,legacy_raw,False,True,True,True,0.10580793142402445,0.10580793142402445,0.0,0.054123940620415215,0.08941920685759756
RZ_p10_m10__noise_medium_s4201,RZ_p10_m10,noise_medium_s4201,r2_error_alpha_beta,False,True,True,True,0.23841983333333183,0.10580793142402445,0.13261190190930738,0.05187660381148776,0.07005583756023026
RZ_p10_m10__noise_medium_s4201,RZ_p10_m10,noise_medium_s4201,control_aware_no_aw,True,True,True,True,0.2791680333333315,0.10580793142402445,0.17336010190930706,0.05046233543024686,0.04479755965808602
RZ_p10_m10__noise_medium_s4201,RZ_p10_m10,noise_medium_s4201,control_aware_aw,True,True,True,True,0.2925430333333321,0.10580793142402445,0.18673510190930764,0.05744296877394177,0.03510131200664188
RZ_p10_m10__observation_delay_1,RZ_p10_m10,observation_delay_1,legacy_raw,False,True,True,True,0.27534297666666674,0.27534297666666674,0.0,0.05945614873729336,0.03561778590731902
RZ_p10_m10__observation_delay_1,RZ_p10_m10,observation_delay_1,r2_error_alpha_beta,False,True,True,True,0.2621116999999997,0.27534297666666674,-0.013231276666667013,0.03472053135290278,0.05110064725065187
RZ_p10_m10__observation_delay_1,RZ_p10_m10,observation_delay_1,control_aware_no_aw,True,True,True,True,0.27156556666666776,0.27534297666666674,-0.003777409999998982,0.05139943163592976,0.04810538083340094
RZ_p10_m10__observation_delay_1,RZ_p10_m10,observation_delay_1,control_aware_aw,True,True,True,True,0.1927725985919866,0.27534297666666674,-0.08257037807468015,0.05675947807176532,0.04451373179368651
RZ_p10_m10__observation_delay_2,RZ_p10_m10,observation_delay_2,legacy_raw,False,True,True,True,0.26729580333333325,0.26729580333333325,0.0,0.0629791548306283,0.040181494591833546
RZ_p10_m10__observation_delay_2,RZ_p10_m10,observation_delay_2,r2_error_alpha_beta,False,True,True,True,0.25380566666666493,0.26729580333333325,-0.013490136666668318,0.026745643797747277,0.06495933331282665
RZ_p10_m10__observation_delay_2,RZ_p10_m10,observation_delay_2,control_aware_no_aw,True,True,True,True,0.25572989909587673,0.26729580333333325,-0.011565904237456515,0.04824240207538902,0.043403908215129926
RZ_p10_m10__observation_delay_2,RZ_p10_m10,observation_delay_2,control_aware_aw,True,True,True,True,0.1368268478482383,0.26729580333333325,-0.13046895548509496,0.052038507045085856,0.04205190296720052
nominal__clean,nominal,clean,legacy_raw,False,True,True,True,0.45179333666666666,0.45179333666666666,0.0,0.03794289695417812,0.03534038695005065
nominal__clean,nominal,clean,r2_error_alpha_beta,False,True,True,True,0.4061104333333333,0.45179333666666666,-0.04568290333333336,0.037756169699170485,0.0352938185201946
nominal__clean,nominal,clean,control_aware_no_aw,True,True,True,True,0.45179333666666666,0.45179333666666666,0.0,0.03794289695417812,0.03534038695005065
nominal__clean,nominal,clean,control_aware_aw,True,True,True,True,0.45179333666666666,0.45179333666666666,0.0,0.03794289695417812,0.03534038695005065
nominal__noise_high_s4301,nominal,noise_high_s4301,legacy_raw,False,False,False,True,-0.16092625617330758,-0.16092625617330758,0.0,0.0686727282007314,0.01212530025612706
nominal__noise_high_s4301,nominal,noise_high_s4301,r2_error_alpha_beta,False,True,False,True,0.20374302829783097,-0.16092625617330758,0.36466928447113856,0.039147158645013315,0.0796256971702169
nominal__noise_high_s4301,nominal,noise_high_s4301,control_aware_no_aw,True,True,False,True,0.4723809526319386,-0.16092625617330758,0.6333072088052462,0.03820904455857669,0.025249380423523603
nominal__noise_high_s4301,nominal,noise_high_s4301,control_aware_aw,True,True,False,True,0.39556641563923456,-0.16092625617330758,0.5564926718125421,0.04070806580042173,0.02703903677031121
