candidate_id,source_name,source_type,vector,linear_prefilter_score,predicted_terminal_R_error_m,predicted_terminal_Z_error_m,predicted_terminal_Ip_error_A,predicted_late_RZ_rms_m,action_rms,delta_action_rms,repair_excess_rms,population_index
g007_6c6c0529dd7d74af,gaussian_0201,gaussian,"[1.9480054630029047, 1.4808812820945767, 0.5201039257905671, 1.4858269595723583, 1.9135387532992931, 0.07336948198154722, -0.10223739036050714, 1.8666515761712683, -0.289277267658953, -0.6917209879232477, -0.9324541198010919, 0.06534694215507104, -0.7971366999152061, -0.17217996348972525, 0.010079900640327141]",2.824647798966949,-0.02508861596258305,0.03224765936335663,1061.629462553181,0.041237626614858885,0.44346287033015325,0.20939512292253512,0.046545881210510384,40
g007_51aeb70d92b4faf9,gaussian_0700,gaussian,"[2.1269666809865533, 1.4712387384432026, 0.6059164370263607, 1.227332247513215, 2.130067922877867, 0.0037531066163449256, 0.08079747248501642, 1.700764651757201, -0.3214255309900289, -0.6853582395432409, -0.986891732666496, -0.09963925136419824, -0.4464075772225502, -0.341009858827331, -0.04095395043227326]",2.824664027018455,-0.024836856714699596,0.03247331619525601,1161.8354254323458,0.04120294127832737,0.4391544666849775,0.20757270041727402,0.05629137027642526,41
g007_eaf188e4c2cad0e2,gaussian_0583,gaussian,"[2.0930294011850172, 1.37676747447998, 0.45676764961434513, 1.1996524529153054, 1.8227101714932243, 0.09870171781277198, -0.1569684593000341, 1.7902362230184325, -0.16780082383112643, -0.6800184953761337, -0.7722885386654337, -0.03468563794518206, -0.5419257371211268, 0.10629625071212226, -0.12805895327632436]",2.825474180982373,-0.024747276581133293,0.03244613650433045,1197.8766771579649,0.041318993902252944,0.43243341780045375,0.20329785971175562,0.0016886098771053061,42
g007_2c2d03cbc889aef1,gaussian_0428,gaussian,"[1.9883154103883731, 1.2985590996851082, 0.4744250580271422, 1.2195542817023108, 2.016097254139374, 0.062213139359811896, -0.035640079110517905, 2.2050252304408033, 0.0144202676720252, -0.52924098018742, -0.972679573063579, 0.12610874829093413, 0.1080670185344692, -0.9145216516079672, 0.06450810251960795]",2.828119745781919,-0.024570482506842573,0.03245510078929348,773.8571943893912,0.04133423918145185,0.4487303465286309,0.2178187941605652,0.054424402358109955,43
g007_038f1f08949b7164,gaussian_0381,gaussian,"[2.152051347914178, 1.5559302110632585, 0.5239191371183504, 1.2560486246132403, 1.9984924574860583, -0.09838510431401933, -0.00728433453994437, 2.3270869722867173, -0.1388230253367248, -0.6782075285210121, -1.171686703239266, 0.23192754037113125, -0.5676940332919351, -0.030326252571728746, 0.12708452017388]",2.8285043149045452,-0.024219113109078982,0.032846392060583735,917.8255001936705,0.04116173334970895,0.44766019728090656,0.2338733441413797,0.09271496228211225,44
g007_be07b594eb8fb8ae,gaussian_0729,gaussian,"[2.2235022703665424, 1.388454467523693, 0.4085752930754261, 1.0939650742271305, 1.9229652810048672, 0.1812251052733327, 0.013700065157118996, 2.0135280050167554, -0.16062235040158646, -0.7140615426355976, -0.953391215784958, 0.20198360477991945, 0.026619101833788406, -0.33298148546978695, 0.1869189109152913]",2.828971778891484,-0.02497253171525704,0.03229003382573803,805.9987453576359,0.041324517198433317,0.43791444816326247,0.21869009287627142,0.036078261107993954,45
g007_c27d5336f6b446bd,gaussian_0492,gaussian,"[2.1512618845077593, 1.6687996536852963, 0.5289014276644907, 1.2680464986574747, 1.743571524894623, 0.0763538229332494, 0.036525689458295735, 2.274603135139873, -0.2857083297133549, -0.7228546432357367, -1.4389693407083037, -0.059646344348322805, 0.16992228802314008, -0.4986625327034573, 0.13361501364970158]",2.8291211839041193,-0.025557299689469848,0.032025964662764486,956.4973756253858,0.041099654061531536,0.45679197321311305,0.24415654303770398,0.08896272192937486,46
g007_97a4392e083d18da,gaussian_0503,gaussian,"[1.9876453146758983, 1.7175558932620434, 0.5200143440417936, 1.2302433923405065, 1.7609049649008097, 0.08508649270982988, -0.03289405014231149, 2.123618081463352, -0.22425388082002598, -0.5304819195963326, -1.011823660362229, -0.08393045755800813, -0.24974331912994513, -0.06501301199282641, -0.06969289356993164]",2.8315933385809116,-0.023349752869567086,0.0334169383554387,1171.7359741072796,0.04131443306205246,0.42896791996962597,0.21269161584910684,0.06460145671393926,47
g007_67019393f29ca0d7,gaussian_0099,gaussian,"[2.1861433409435, 1.2844569858091646, 0.3877764632464394, 1.1725653654726016, 2.0396956196144496, 0.11733756421342073, -0.07217670212404789, 2.1144280110300473, -0.2316487502192019, -0.5725286886433364, -1.0202233897068824, 0.1538386861640228, -0.6710063060844611, -0.3636189060578251, -0.2032142273510782]",2.832676725021763,-0.025247863424339934,0.03211446192624693,1066.496399233587,0.04128937622976089,0.44757348105472805,0.2191634506161497,0.06245222642259925,48
g007_32ba19208b6e6009,gaussian_0097,gaussian,"[2.1728404434180804, 1.4044324251056974, 0.5214245570225993, 1.1350993564713545, 1.7893423791470904, 0.023231204038159287, 0.1099811881652483, 1.9212418273609955, -0.3554492516805019, -1.0687797778921941, -1.0521350029714065, 0.041241252976413206, 0.2966328645697464, 0.18926603010921086, -0.31796318835441556]",2.8352229459273786,-0.025669736792534703,0.032011916252154535,1292.4785868921717,0.04128272552170782,0.4420155452995746,0.2383059354902731,0.033795136426765696,49
