candidate_id,phase,nominal_id,source_candidate_id,nominal_category,source_name,source_type,tail_vector,action_rms_pred,delta_action_rms_pred,repair_excess_rms_pred,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
s30r999p_e82770d61aff6310,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v5_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.032150000000000026,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3812872006084728,0.20850808086372064,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,5,-1,0.006,-0.005999999999999998,two_sided,10
s30r999p_7f83b9d9f20ad8eb,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v5_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.04415000000000002,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3812929180405083,0.20844666458922548,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,5,1,0.006,0.005999999999999998,two_sided,11
s30r999p_7dd473fb55b9564e,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v6_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.35939999999999933,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.38119755510038683,0.20845975377311313,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,6,-1,0.02,-0.020000000000000018,two_sided,12
s30r999p_8f77c81ea48cc213,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v6_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.39939999999999937,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3813870859741396,0.20851280870039265,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,6,1,0.02,0.020000000000000018,two_sided,13
s30r999p_64d07544d440f8f2,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v7_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.35939999999999994,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.38119755510038683,0.20845975377311313,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,7,-1,0.02,-0.020000000000000018,two_sided,14
s30r999p_9817ba7dd8012fb6,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v7_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.3994,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3813870859741396,0.20851280870039265,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,7,1,0.02,0.020000000000000018,two_sided,15
s30r999p_3febae747adff708,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v8_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1275,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3812766959462056,0.20844527389330053,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,8,-1,0.008,-0.008000000000000007,two_sided,16
s30r999p_3ccbac875f567186,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v8_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.14350000000000002,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.38130377193348475,0.20851084140630022,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,8,1,0.008,0.008000000000000007,two_sided,17
s30r999p_d80c3c6a7dafb67c,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v9_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.4095999999999994,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.38116344552565457,0.20845875519300297,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,9,-1,0.024,-0.02400000000000002,two_sided,18
s30r999p_e7477623771b9c64,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v9_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.45759999999999945,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3814233728389567,0.208522419790755,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,9,1,0.024,0.02400000000000002,two_sided,19
