candidate_id,phase,nominal_id,source_candidate_id,nominal_category,source_name,source_type,tail_vector,action_rms_pred,delta_action_rms_pred,repair_excess_rms_pred,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
s30r02p_73cf994dba33ca63,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v15_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.2639999999999991,-0.015999999999999986,0.11399999999999988]",0.37706212190319266,0.20658263883697214,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,15,-1,0.04,-0.03999999999999998,two_sided,30
s30r02p_cecddee653c2dc8e,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v15_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3439999999999991,-0.015999999999999986,0.11399999999999988]",0.3773691333717653,0.20658263883697214,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,15,1,0.04,0.03999999999999998,two_sided,31
s30r02p_2bd00f71b60d5c4e,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v16_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.05599999999999999,0.11399999999999988]",0.37722373803360104,0.20658263883697214,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,16,-1,0.04,-0.04,two_sided,32
s30r02p_b0e0cd937a92ef20,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v16_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,0.024000000000000014,0.11399999999999988]",0.3772075795365894,0.20658263883697214,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,16,1,0.04,0.04,two_sided,33
s30r02p_46e0b144c620a388,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v17_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.09899999999999988]",0.3771853920350234,0.2065656587207187,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,17,-1,0.015,-0.015,two_sided,34
s30r02p_95be7b1287b0f6df,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v17_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.1289999999999999]",0.3772285665126459,0.2065656587207187,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,17,1,0.015,0.015000000000000013,two_sided,35
s30r02p_23d151d33e7eb1b4,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v0_m,real_tsc_fd_probe,"[-0.4210934518181101,0.27786250362187676,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999963,0.26599999999999924,0.2659999999999999,0.0049999999999999975,0.3039999999999997,0.304,0.1139999999999998,0.30400000000000005,-0.016000000000000403,0.053598346724084166,0.30399999999999894,-0.01600000000000129,0.08772124206273806]",0.3771450292969602,0.20698617708366032,0.04807504367787985,s30r01s_a41b0f020132d509,nominal_05_s22g000_571ab4a158d29207,0,-1,0.018,-0.018000000000000016,two_sided,36
s30r02p_c6d62847dee68903,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v0_p,real_tsc_fd_probe,"[-0.38509345181811006,0.27786250362187676,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999963,0.26599999999999924,0.2659999999999999,0.0049999999999999975,0.3039999999999997,0.304,0.1139999999999998,0.30400000000000005,-0.016000000000000403,0.053598346724084166,0.30399999999999894,-0.01600000000000129,0.08772124206273806]",0.3769617615278905,0.20663191476226417,0.04807504367787985,s30r01s_a41b0f020132d509,nominal_05_s22g000_571ab4a158d29207,0,1,0.018,0.018000000000000016,two_sided,37
s30r02p_9fa8c5b5554784a6,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v1_m,real_tsc_fd_probe,"[-0.40309345181811007,0.25986250362187674,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999963,0.26599999999999924,0.2659999999999999,0.0049999999999999975,0.3039999999999997,0.304,0.1139999999999998,0.30400000000000005,-0.016000000000000403,0.053598346724084166,0.30399999999999894,-0.01600000000000129,0.08772124206273806]",0.3769902357047966,0.20651154840988037,0.04807504367787985,s30r01s_a41b0f020132d509,nominal_05_s22g000_571ab4a158d29207,1,-1,0.018,-0.018000000000000016,two_sided,38
s30r02p_ec42061d2a71b46b,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v1_p,real_tsc_fd_probe,"[-0.40309345181811007,0.29586250362187677,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999963,0.26599999999999924,0.2659999999999999,0.0049999999999999975,0.3039999999999997,0.304,0.1139999999999998,0.30400000000000005,-0.016000000000000403,0.053598346724084166,0.30399999999999894,-0.01600000000000129,0.08772124206273806]",0.3771165668077405,0.20710626759077486,0.04807504367787985,s30r01s_a41b0f020132d509,nominal_05_s22g000_571ab4a158d29207,1,1,0.018,0.018000000000000016,two_sided,39
