left_experiment_id,right_experiment_id,left_target_id,right_target_id,left_delay,right_delay,left_slew,right_slew,same_checkpoint_step,same_snapshot_clock,same_future_semantics,R_abs_difference_m,Z_abs_difference_m,Ip_abs_difference_A,vR_abs_difference_m_per_s,vZ_abs_difference_m_per_s,coil_max_abs_difference_A,coil_rms_difference_A,action_max_abs_difference,wire_max_abs_difference_A,wire_rms_difference_A,wire_relative_rms_difference,visible_max_normalized_ratio,visible_match_pass,hidden_separation_pass,valid_r3_existing_pair
s42r1_6442ea8fce407a0d50c6,s42r1_9cb2964ccf9f1f305352,nominal,nominal,2,0,1.0,1.0,True,True,False,0.00011539100000002023,0.0009066733000000007,3.3672000000005937,0.0049827999999974,0.013218149999999831,0.21000000000000796,0.0970246450446075,0.027839008893352002,1.1099999999999999,0.6560751671874192,0.6560751671874192,27839008893.352,False,False,False
s42r1_43d84438b41d51cf6491,s42r1_c1b845e90cb8b80f4011,nominal,nominal,1,1,1.1,1.0,True,True,False,0.001899140999999993,0.0010470300999999987,0.8630000000011933,0.005764100000005268,0.010918250000000254,0.2916666666666572,0.1396999335310192,0.02907184138894081,1.509,0.8919352204616656,0.8919352204616656,29071841388.94081,False,False,False
s42r1_c1b845e90cb8b80f4011,s42r1_dd913b425ec6e54e594d,nominal,nominal,1,2,1.0,1.1,True,True,False,0.0002945069999999994,0.0003693620999999994,13.280500000000757,0.003055100000004529,0.02329014000000025,0.3999999999999915,0.1924465293702789,0.029084809124469757,0.5159999999999999,0.3120808188594743,0.3120808188594743,29084809124.469757,False,False,False
s42r1_6e47fc276c089c8225c6,s42r1_a1b7708f6011ce730dd9,nominal,nominal,2,0,0.9,0.9,True,True,False,0.0003912480000000107,9.854260000000115e-05,2.0097999999998137,0.0004938000000009879,0.0006705999999998685,0.1666666666666714,0.10018233377197573,0.02969948947429657,0.4540000000000002,0.25590130747353884,0.13472379043974952,29699489474.29657,False,False,False
s42r1_6442ea8fce407a0d50c6,s42r1_e49b8629e202e57e9aec,nominal,nominal,2,1,1.0,0.9,True,True,False,0.002829294999999954,0.0036608722999999996,18.237099999998463,0.024158900000004202,0.07674582000000012,1.3541666666666572,0.7240247902008563,0.03049177210777998,3.111,1.6377626697723942,1.4420647131199982,30491772107.77998,False,False,False
s42r1_07d4391626b568d3d1d4,s42r1_360594c6e0e18106a893,RZ_p10_m10,RZ_p10_m10,2,1,1.0,1.0,True,True,False,7.952099999997131e-05,1.9907500000001035e-05,5.552800000001298,0.008396599999993537,0.017497810000000058,0.2291666666666714,0.12767921578259284,0.0313740000128746,0.532,0.3261385825074979,0.3261385825074979,31374000012.874603,False,False,False
s42r1_0335d099a55455c8c4a2,s42r1_6442ea8fce407a0d50c6,nominal,nominal,0,2,1.1,1.0,True,True,False,0.0013938289999999576,0.00048474930000000013,4.08469999999943,0.027871500000009597,0.019999009999999845,0.6000000000000085,0.264798557008248,0.03249757830053568,2.215,1.2431917172477192,1.2431917172477192,32497578300.53568,False,False,False
s42r1_02e362a9db5d0038375a,s42r1_360594c6e0e18106a893,RZ_p10_m10,RZ_p10_m10,0,1,1.0,1.0,True,True,False,6.699899999995651e-05,0.0003404758000000001,4.098999999998341,1.949999999251162e-05,0.0024231200000000563,0.25,0.14088283857996514,0.03315908461809158,1.164,0.6865571413461034,0.6865571413461034,33159084618.091583,False,False,False
s42r1_13e6677c5ee386421561,s42r1_a873b553954ffbd64e0d,RZ_p10_m10,RZ_p10_m10,1,0,1.1,1.1,True,True,False,0.001611000000000029,0.00030880290000000025,22.53819999999905,0.011009300000008881,0.015325979999999961,0.5833333333333428,0.24848216217796354,0.03338517248630524,0.7649999999999999,0.43145794503443013,0.34486719381388253,33385172486.305237,False,False,False
s42r1_43d84438b41d51cf6491,s42r1_6442ea8fce407a0d50c6,nominal,nominal,1,2,1.1,1.0,True,True,False,0.0018172830000000584,0.0008920105999999997,2.001299999999901,0.014022999999996344,0.01182548999999998,0.3333333333333286,0.1737432195776482,0.03489859960973263,1.596,0.9043987528555459,0.9043987528555459,34898599609.73263,False,False,False
s42r1_a873b553954ffbd64e0d,s42r1_db5ff6d589593afd0d7d,RZ_p10_m10,RZ_p10_m10,0,2,1.1,1.1,True,True,False,0.0018063030000000646,4.836209999999931e-05,7.648700000001554,0.003760099999994271,0.011994760000000153,0.3333333333333286,0.22135932865129512,0.035136645659804344,1.4029999999999996,0.7189470454537431,0.6456793939904676,35136645659.804344,False,False,False
s42r1_02e362a9db5d0038375a,s42r1_07d4391626b568d3d1d4,RZ_p10_m10,RZ_p10_m10,0,2,1.0,1.0,True,True,False,0.00014651999999992782,0.00032056829999999904,9.65179999999964,0.008416099999986049,0.015074690000000002,0.4791666666666714,0.24210920073257208,0.03604478435590863,1.125,0.5724315461258228,0.5724315461258228,36044784355.90863,False,False,False
s42r1_dd913b425ec6e54e594d,s42r1_e49b8629e202e57e9aec,nominal,nominal,2,1,1.1,0.9,True,True,False,0.0030419440000000186,0.0038752149,3.818299999998999,0.03547289999999981,0.1009432000000001,1.4166666666666572,0.8785053301371375,0.03626754321157932,3.3440000000000003,1.6985411755385853,1.5589734114271876,36267543211.57932,False,False,False
s42r1_c1b845e90cb8b80f4011,s42r1_e49b8629e202e57e9aec,nominal,nominal,1,1,1.0,0.9,True,True,False,0.0027474370000000192,0.0035058528000000005,17.098799999999756,0.03241779999999528,0.07765305999999984,1.3333333333333286,0.7676413912469515,0.036318530328571796,3.221,1.7072609093222981,1.4152927980681544,36318530328.5718,False,False,False
s42r1_6e47fc276c089c8225c6,s42r1_e49b8629e202e57e9aec,nominal,nominal,2,1,0.9,0.9,True,True,False,0.0005537970000000225,0.000858290099999999,1.9321000000018103,0.005677399999992616,0.005798670000000172,0.25,0.15705135774088028,0.03798242658376694,1.15,0.7277087901993031,0.40045863056988995,37982426583.76694,False,False,False
s42r1_360594c6e0e18106a893,s42r1_eeeae74dc3d8cfdd6271,RZ_p10_m10,RZ_p10_m10,1,2,1.0,0.9,True,True,False,0.003263893999999934,0.0022271837000000013,24.938599999997678,0.04626030000000059,0.07058658999999998,1.125,0.6137041516189092,0.03809003159403801,3.2369999999999997,1.782683808896014,1.5956796338659462,38090031594.03801,False,False,False
