stage,phase,candidate_id,nominal_id,source_candidate_id,nominal_category,source_name,source_type,control_vector,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
Stage3.1,controller_identification_999_probes,s31r999p_4daba3055f46cca2,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v7_p,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4489908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,7,1,0.018,0.018000000000000016,two_sided,15
Stage3.1,controller_identification_999_probes,s31r999p_926468e715a8638c,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v8_m,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.01249156390387967,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,8,-1,0.0065,-0.006499999999999999,two_sided,16
Stage3.1,controller_identification_999_probes,s31r999p_099f4155d079a5ad,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v8_p,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,0.0005084360961203288,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,8,1,0.0065,0.0065,two_sided,17
Stage3.1,controller_identification_999_probes,s31r999p_04af9ac06088909a,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v9_m,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1309019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,9,-1,0.022,-0.02200000000000002,two_sided,18
Stage3.1,controller_identification_999_probes,s31r999p_ac0ea0664b1523cf,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v9_p,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.0869019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,9,1,0.022,0.02200000000000002,two_sided,19
Stage3.1,controller_identification_999_probes,s31r999p_40cc543ce7fc51f6,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v10_m,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1433055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,10,-1,0.022,-0.02200000000000002,two_sided,20
Stage3.1,controller_identification_999_probes,s31r999p_97c3df9fc3169ac4,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v10_p,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.0993055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,10,1,0.022,0.02200000000000002,two_sided,21
Stage3.1,controller_identification_999_probes,s31r999p_49e84fafbbfb2d66,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v11_m,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6519068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,11,-1,0.008,-0.008000000000000007,two_sided,22
Stage3.1,controller_identification_999_probes,s31r999p_e9b0f395746dc586,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v11_p,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6679068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,11,1,0.008,0.008000000000000007,two_sided,23
Stage3.1,controller_identification_999_probes,s31r999p_01c319d5a5866ea9,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v12_m,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.537986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,12,-1,0.026,-0.026000000000000023,two_sided,24
