pair_id,history_member,target_id,actual_delay_steps,actual_slew_scale,probe_id,signed_member_count,response_available,baseline_initial_state_exact,even_velocity_rmse_m_per_s,even_position_rmse_m,even_ip_rmse_A,central_symmetry_pass,first_effect_state
p5_q1_a0p900_gap2_settle4,plus_first,nominal,2,0.9,persistent_transport_step_mode1,2,True,True,0.00029633863653828383,3.1888924529469045e-05,0.7099197236747096,True,3
p5_q1_a0p900_gap2_settle4,plus_first,nominal,2,0.9,persistent_transport_step_mode2,2,True,True,0.0004068299799336842,4.329059383658135e-05,0.6748705809185594,True,3
p5_q1_a0p900_gap2_settle4,plus_first,nominal,2,0.9,persistent_braking_step_mode0,2,True,True,0.0004102144679856676,2.06078280240531e-05,0.9905793496816065,True,17
p5_q1_a0p900_gap2_settle4,plus_first,nominal,2,0.9,persistent_braking_step_mode1,2,True,True,0.0005301612383075984,2.3453662290674672e-05,1.3167771380627804,True,17
p5_q1_a0p900_gap2_settle4,plus_first,nominal,2,0.9,persistent_braking_step_mode2,2,True,True,0.0004183725021347604,1.4542892401856648e-05,0.7168123270468536,True,17
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode0,2,True,True,0.00033542429950654925,4.020176192627063e-05,0.659498361485415,True,3
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode1,2,True,True,0.00022742821425968126,2.3200891524440634e-05,0.7771358357374248,True,3
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode2,2,True,True,0.0001124892031276726,1.4387080092624003e-05,0.6955635935390229,True,3
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode0,2,True,True,0.0002225103057646251,3.2234595626594775e-05,1.243984744770155,True,17
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode1,2,True,True,0.0001339607778884431,4.969903359479223e-06,1.0509087601021858,True,17
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode2,2,True,True,0.0002449414033867279,3.666302430476891e-05,0.6272353199114935,True,17
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode0,2,True,True,0.0005975466757004575,2.376795200621837e-05,1.6490521001659604,True,3
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode1,2,True,True,0.00023791835649628794,1.8814739492147496e-05,0.5398648671581566,True,3
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode2,2,True,True,0.00015804952324499378,1.4725317290067128e-05,0.5731848584697823,True,3
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode0,2,True,True,0.000518407569718815,1.8443188328835734e-05,0.753517649925958,True,17
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode1,2,True,True,0.00023020051362428211,9.798358748252523e-06,0.7981157379115008,True,17
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode2,2,True,True,0.0005218370129135869,2.0086271309356302e-05,1.2372084243247587,True,17
p5_q2_a0p900_gap2_settle4,minus_first,nominal,0,1.0,persistent_transport_step_mode0,2,True,True,0.0001834397491658862,3.061954397680997e-05,1.1828444673130734,True,3
p5_q2_a0p900_gap2_settle4,minus_first,nominal,0,1.0,persistent_transport_step_mode1,2,True,True,0.00012709581263287592,9.160501843915675e-06,0.6532419746125085,True,3
p5_q2_a0p900_gap2_settle4,minus_first,nominal,0,1.0,persistent_transport_step_mode2,2,True,True,0.00019201341316844883,3.164689013230127e-05,1.2993066781780436,True,3
p5_q2_a0p900_gap2_settle4,minus_first,nominal,0,1.0,persistent_braking_step_mode0,2,True,True,0.00018680654277419167,2.84354560867116e-05,1.397460928765317,True,17
p5_q2_a0p900_gap2_settle4,minus_first,nominal,0,1.0,persistent_braking_step_mode1,2,True,True,0.0002668823088990863,2.0574109050971507e-05,0.8216169568743221,True,17
p5_q2_a0p900_gap2_settle4,minus_first,nominal,0,1.0,persistent_braking_step_mode2,2,True,True,0.000254602044281207,1.6405713746277707e-05,1.3375570974891469,True,17
p5_q2_a0p900_gap2_settle4,minus_first,nominal,2,0.9,persistent_transport_step_mode0,2,True,True,0.0006259213973282143,4.7162350876528285e-05,1.4145196575754213,True,3
