candidate_id,vector,source_name,source_type,linear_prefilter_score,predicted_terminal_R_error_m,predicted_terminal_Z_error_m,predicted_terminal_Ip_error_A,predicted_late_RZ_rms_m,action_rms,delta_action_rms,repair_excess_rms,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,proposal_rank_score,population_index,generation
s21g000_e00bc71246b9f4fb,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.4373135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",tail_fd_n3_m1_m,sensitivity,2.939848610707478,-0.02741735922750077,0.03197066466168153,901.2271860486981,0.04180508012821509,0.4666389776396297,0.255418798107253,0.06575194255408535,0.023120857671396343,0.09785716807102367,3.5810003500758487,20,0
s21g000_bd35696f7b749e38,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.2773135959693287,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",tail_fd_n3_m1_p,sensitivity,2.904674654523741,-0.02695800829421313,0.03183113554108735,917.7573506530716,0.04163010218179959,0.4617039613440122,0.2454642201904484,0.06575194255408535,0.035058544792204445,0.10376864421026784,3.6476087581073013,21,0
s21g000_794cbf5904d43420,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.12477816185308457,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",tail_fd_n3_m2_m,sensitivity,2.9215212784274502,-0.02716924335493942,0.03190639015519042,929.3019857078434,0.041713808058674015,0.4639711371567938,0.2501769357838752,0.06575194255408535,0.028301232497402164,0.10064083652536696,3.607912438532137,22,0
s21g000_d5c03b880ae2b712,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.19477816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",tail_fd_n3_m2_p,sensitivity,2.9228931006423027,-0.02720612416677448,0.03189541004757847,889.6825509939263,0.04172109468119324,0.46424108512268325,0.25066809577825616,0.06575194255408535,0.029814785941640547,0.10093477029119434,3.616214162261258,23,0
s21g000_1b61c9b23e72f941,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.46147750995002296,-0.22123391397199035,0.06203426961659384]",tail_fd_n4_m0_m,sensitivity,2.923254681216331,-0.027176894864193724,0.03192850590834069,911.0294244592515,0.04172160976297543,0.4653517125995663,0.250056554589371,0.06575194255408535,0.028938242469789814,0.10072399903105159,3.6120105056722163,24,0
s21g000_ebfd1abf8c20659d,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.3014775099500229,-0.22123391397199035,0.06203426961659384]",tail_fd_n4_m0_p,sensitivity,2.921161514169445,-0.02719847265752018,0.03187329429442819,907.9551122425182,0.04171329484595408,0.46297668387415086,0.2508233874190321,0.06575194255408535,0.02961588726967116,0.10120593738865721,3.6176317560029823,25,0
s21g000_e77222d1c1c03494,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.30123391397199034,0.06203426961659384]",tail_fd_n4_m1_m,sensitivity,2.9240671343894835,-0.027217199979997386,0.03190819203779865,896.6168186931791,0.04172521101185877,0.4653305781692076,0.2494783473491364,0.06575194255408535,0.028479457821649505,0.10104239577522575,3.6160766908728403,26,0
s21g000_1fb6156d9ad01715,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.14123391397199037,0.06203426961659384]",tail_fd_n4_m1_p,sensitivity,2.920349309590149,-0.027158167541716516,0.03189360816497022,922.3677180085906,0.041709692936993156,0.46299792575255216,0.2513985011359627,0.06575194255408535,0.029536260696971996,0.10046888142362011,3.6069927326921043,27,0
s21g000_aa1c3364297e7f64,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.027034269616593838]",tail_fd_n4_m2_m,sensitivity,2.9221269702769477,-0.02718387969438174,0.031902660039474534,926.3059264334188,0.04171699705211889,0.4640135321094304,0.25044906933212296,0.06575194255408535,0.028813566406776042,0.10086013888180068,3.6124146215863147,28,0
s21g000_3843b2936c2ef769,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.09703426961659384]",tail_fd_n4_m2_p,sensitivity,2.922286352418402,-0.02719148782733216,0.03189914016329434,892.6786102683509,0.041717902585325525,0.4641939985068586,0.25037678584037587,0.06575194255408535,0.029277310291913168,0.1006599978170269,3.610895269279967,29,0
