candidate_id,vector,source_name,source_type,linear_prefilter_score,predicted_terminal_R_error_m,predicted_terminal_Z_error_m,predicted_terminal_Ip_error_A,predicted_late_RZ_rms_m,action_rms,delta_action_rms,repair_excess_rms,vector_digest,predicted_final3_box_max_error_m,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,predicted_corner_max_violation,predicted_corner_sum_violation,proposal_rank_score,population_index,generation
s22g004_f4106443561765b8,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2326523768972368,1.8508448748969635,0.1167595421788616,-0.31505215205519466,2.2496303817729637,-0.19064158593500527,-1.0619835457377542,-1.4831382584692328,0.21121827007822166,-0.6269299086987542,-0.25152250476991117,-0.025501479153778525]",probe_c1_h05_m,multi_center_probes,2.9592267572804936,-0.02730186718536831,0.03242398766462938,885.7569133550569,0.041871361090192336,0.48280851679088305,0.2632594145966491,0.06683831133749736,v_f4106443561765b8,0.031381643073276864,0.024046701688171822,0.10096632759408417,0.04605476910922879,0.055718045050070275,48.3130831788044,20,4
s22g004_89d222a7ea5c4cdd,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2562719768972368,1.8272252748969635,0.1272571421788616,-0.3609791520551947,2.203703381772964,-0.17095858593500526,-1.1210325457377541,-1.4240892584692328,0.23483787007822168,-0.6859789086987541,-0.19247350476991118,-0.04912107915377853]",probe_c1_h05_p,multi_center_probes,2.962125891261872,-0.027188864972961024,0.03257680731267713,890.5030478321605,0.041906715609769746,0.48418912699127076,0.26174896578162554,0.05676015280657911,v_89d222a7ea5c4cdd,0.03140963400339301,0.02263834765151187,0.0993256309463986,0.04698780011310033,0.04698780011310033,48.89693337653697,21,4
s22g004_2d5491bde954c3f2,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2326523768972368,1.8272252748969635,0.1272571421788616,-0.31505215205519466,2.2496303817729637,-0.17095858593500526,-1.1210325457377541,-1.4831382584692328,0.21121827007822166,-0.6859789086987541,-0.19247350476991118,-0.025501479153778525]",probe_c1_h06_m,multi_center_probes,2.9645615798252627,-0.027283240045149926,0.03252459863010064,886.6303397857737,0.04190410631838737,0.48552443651226423,0.2651156370952066,0.06367641094032848,v_2d5491bde954c3f2,0.0313860522590519,0.022361283463647345,0.1004112192894625,0.04620174196839688,0.050313934863021936,48.24394497871601,22,4
s22g004_dea3c8801e4c66aa,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2562719768972368,1.8508448748969635,0.1167595421788616,-0.3609791520551947,2.203703381772964,-0.19064158593500527,-1.0619835457377542,-1.4240892584692328,0.23483787007822168,-0.6269299086987542,-0.25152250476991117,-0.04912107915377853]",probe_c1_h06_p,multi_center_probes,2.9603874019129144,-0.027223275548910353,0.03250405640207394,889.5834787874446,0.04189710235499269,0.48119224959393647,0.25988721400199977,0.06016412298456604,v_dea3c8801e4c66aa,0.03140501243242632,0.024147694043543222,0.09978881079727046,0.04683374774754401,0.04683374774754401,48.7367015314649,23,4
s22g004_f72f434af78be494,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2326523768972368,1.8508448748969635,0.1272571421788616,-0.3609791520551947,2.2496303817729637,-0.19064158593500527,-1.1210325457377541,-1.4240892584692328,0.21121827007822166,-0.6269299086987542,-0.19247350476991118,-0.04912107915377853]",probe_c1_h07_m,multi_center_probes,2.9693746516342077,-0.02696234023847688,0.03281591313883793,910.3400333746795,0.04193587294624114,0.48209522259416715,0.2615754222473202,0.06748463682081872,v_f72f434af78be494,0.031521340011128204,0.01984580492303841,0.09707442590756513,0.0507113337042735,0.0507113337042735,52.769480798960785,24,4
s22g004_493c953c60f07abe,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2562719768972368,1.8272252748969635,0.1167595421788616,-0.31505215205519466,2.203703381772964,-0.17095858593500526,-1.0619835457377542,-1.4831382584692328,0.23483787007822168,-0.6859789086987541,-0.25152250476991117,-0.025501479153778525]",probe_c1_h07_p,multi_center_probes,2.958919397798331,-0.027558679971608546,0.032232678840106416,865.736052853259,0.041885619031976705,0.48446989956811015,0.2633667714619575,0.05632727559293367,v_493c953c60f07abe,0.031271790551173025,0.026890474038810376,0.1031855560957265,0.042393018372434144,0.07424857932969897,45.39255073960008,25,4
s22g004_64b3048d06111010,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2326523768972368,1.8272252748969635,0.1167595421788616,-0.3609791520551947,2.203703381772964,-0.19064158593500527,-1.1210325457377541,-1.4831382584692328,0.23483787007822168,-0.6269299086987542,-0.19247350476991118,-0.025501479153778525]",probe_c1_h08_m,multi_center_probes,2.9798300394027835,-0.02726651693407023,0.03275895249193728,881.9770001027973,0.04199396131283081,0.48435191427732427,0.2652303071284334,0.05925755956020555,v_64b3048d06111010,0.031524296333682145,0.018113782359062684,0.09470184349354,0.05080987778940482,0.05080987778940482,52.87207120137504,26,4
s22g004_9e6cb2afb7b54664,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2562719768972368,1.8508448748969635,0.1272571421788616,-0.31505215205519466,2.2496303817729637,-0.17095858593500526,-1.0619835457377542,-1.4240892584692328,0.21121827007822166,-0.6859789086987541,-0.25152250476991117,-0.04912107915377853]",probe_c1_h08_p,multi_center_probes,2.9423180919731577,-0.02722662262441744,0.03224765579298482,894.3740078079209,0.04178877477048153,0.48256171884198046,0.2597795087991678,0.06460975820977304,v_9e6cb2afb7b54664,0.03126838452972956,0.028605465748546825,0.1056177828637995,0.05617782863799481,0.09845731296231364,60.14554433740708,27,4
s22g004_dad218fd49675f95,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.236385634942497,1.7620406869218461,0.13358125403562732,-0.3824613495828374,2.197430148757632,-0.33131052265432653,-0.8544817129819166,-1.3808101074137584,0.2134667105134061,-0.570376789148781,0.0306486940965105,0.04047750769184573]",probe_c2_h10_m,multi_center_probes,2.966650188730867,-0.027818380595936665,0.031862331668999426,937.8744023889813,0.04196124138268438,0.4658931515685314,0.2552985440796936,0.07881634215889306,v_dad218fd49675f95,0.031287491858177384,0.02607254656763064,0.09801229869850588,0.04291639527257951,0.04291639527257951,44.66271758536999,28,4
s22g004_be6d3855587b4808,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.260005234942497,1.785660286921846,0.12308365403562732,-0.42838834958283745,2.243357148757632,-0.3116275226543265,-0.9135307129819165,-1.4398591074137583,0.18984711051340608,-0.6294257891487809,0.08969769409651052,0.06409710769184573]",probe_c2_h10_p,multi_center_probes,2.977378278771909,-0.027656900998994538,0.032180151611705565,943.7782676469542,0.041989294480988724,0.4716975459797655,0.26163083180595703,0.0839014372220402,v_be6d3855587b4808,0.031323026527151084,0.022450378236854595,0.09592472803257218,0.04410088423836944,0.04410088423836944,45.89469339069195,29,4
s22g004_b256a44d6babf867,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.236385634942497,1.785660286921846,0.13358125403562732,-0.42838834958283745,2.197430148757632,-0.3116275226543265,-0.8544817129819166,-1.4398591074137583,0.2134667105134061,-0.6294257891487809,0.0306486940965105,0.06409710769184573]",probe_c2_h11_m,multi_center_probes,2.9784494523763114,-0.027700324034609092,0.032181162385713585,917.4516966487208,0.042012043034818265,0.47014914362558713,0.25983550321760307,0.07652802478956625,v_b256a44d6babf867,0.03139087661187312,0.02455956494229048,0.09462255924209824,0.04636255372910414,0.04636255372910414,48.24684037279206,30,4
s22g004_ab52c47b99f5295c,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.260005234942497,1.7620406869218461,0.12308365403562732,-0.3824613495828374,2.243357148757632,-0.33131052265432653,-0.9135307129819165,-1.3808101074137584,0.18984711051340608,-0.570376789148781,0.08969769409651052,0.04047750769184573]",probe_c2_h11_p,multi_center_probes,2.963687846452603,-0.027764369481644513,0.03184834748822112,964.2149260404512,0.04192612768844529,0.46760803501539394,0.2571750692490996,0.08613092806545454,v_ab52c47b99f5295c,0.031219585729693862,0.024085633262178455,0.09929445685004534,0.040652857656462205,0.040652857656462205,42.30860884118522,31,4
s22g004_2b529377bc7b4cb5,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.236385634942497,1.7620406869218461,0.12308365403562732,-0.42838834958283745,2.243357148757632,-0.3116275226543265,-0.8544817129819166,-1.3808101074137584,0.2134667105134061,-0.570376789148781,0.08969769409651052,0.06409710769184573]",probe_c2_h12_m,multi_center_probes,2.973154340045272,-0.027612726323153036,0.032094575471823955,933.875197466572,0.04199311738262741,0.46611878096697024,0.2573403965658795,0.08371543889944717,v_2b529377bc7b4cb5,0.03137993144978391,0.023239612639286502,0.09506614482406794,0.045997714992797034,0.045997714992797034,47.86735513590937,32,4
s22g004_7b0aab303f40c745,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.260005234942497,1.785660286921846,0.13358125403562732,-0.3824613495828374,2.197430148757632,-0.33131052265432653,-0.9135307129819165,-1.4398591074137583,0.18984711051340608,-0.6294257891487809,0.0306486940965105,0.04047750769184573]",probe_c2_h12_p,multi_center_probes,2.968785324233707,-0.027853857115896496,0.031931961554809776,947.8371311161063,0.041944359407957495,0.4716395599396997,0.25960912938093933,0.0789314972244249,v_7b0aab303f40c745,0.03123083772979482,0.025284004585510278,0.09884371233122961,0.041027924326493936,0.041027924326493936,42.698729152796034,33,4
