stage,phase,candidate_id,nominal_id,source_candidate_id,nominal_category,source_name,source_type,control_vector,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
Stage3.1,round_003_probes,s31r003p_0e86c805bac72212,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v0_p,real_tsc_fd_probe,"[-0.08260157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,0,1,0.014,0.013999999999999999,two_sided,43
Stage3.1,round_003_probes,s31r003p_0cc2b2ae17c800ca,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v1_m,real_tsc_fd_probe,"[-0.09660157230012978,0.1827952301310709,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,1,-1,0.014,-0.014000000000000012,two_sided,44
Stage3.1,round_003_probes,s31r003p_b6f996bdc6af1d57,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v1_p,real_tsc_fd_probe,"[-0.09660157230012978,0.21079523013107093,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,1,1,0.014,0.014000000000000012,two_sided,45
Stage3.1,round_003_probes,s31r003p_fe571529ec9d765d,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v2_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3138145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,2,-1,0.005,-0.0050000000000000044,two_sided,46
Stage3.1,round_003_probes,s31r003p_1e8d23f836b6b3b6,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v2_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3238145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,2,1,0.005,0.0050000000000000044,two_sided,47
Stage3.1,round_003_probes,s31r003p_ea3060a417d32bca,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v3_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.36845654818188994,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,3,-1,0.02,-0.020000000000000018,two_sided,48
Stage3.1,round_003_probes,s31r003p_e35f296a5ab2d1ff,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v3_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.40845654818189,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,3,1,0.02,0.020000000000000018,two_sided,49
Stage3.1,round_003_probes,s31r003p_8c91fd800aa2bfb1,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v4_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0494125036218755,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,4,-1,0.02,-0.020000000000000018,two_sided,50
Stage3.1,round_003_probes,s31r003p_04183978e482bfa4,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v4_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0894125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,4,1,0.02,0.020000000000000018,two_sided,51
Stage3.1,round_003_probes,s31r003p_32d59bba3e524a0f,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v5_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1761629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,5,-1,0.007,-0.007000000000000006,two_sided,52
