candidate_id,phase,nominal_id,source_candidate_id,nominal_category,source_name,source_type,tail_vector,action_rms_pred,delta_action_rms_pred,repair_excess_rms_pred,population_index
s30screen_a77f14c737338bd8,screen,nominal_01_s22g004_b034e7d0314c08d6,s22g004_b034e7d0314c08d6,corner,mode1_plus_pulse,screen_template,"[-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.3748231269590033,-0.17082680381592896,-0.027632863323022824,-0.26111734521925245,-0.12812010286194672,-0.020724647492267115,-0.17141156347950168,-0.08541340190796448,-0.013816431661511412,-0.08970578173975083,-0.04270670095398224,-0.006908215830755706,0.0,-0.0,-0.0]",0.394654471581746,0.21105733123410464,0.06092213390688114,18
s30screen_ce15f30f823b5368,screen,nominal_01_s22g004_b034e7d0314c08d6,s22g004_b034e7d0314c08d6,corner,mode1_minus_pulse,screen_template,"[-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.5348231269590034,-0.17082680381592896,-0.027632863323022824,-0.4211173452192525,-0.12812010286194672,-0.020724647492267115,-0.2834115634795017,-0.08541340190796448,-0.013816431661511412,-0.13770578173975084,-0.04270670095398224,-0.006908215830755706,-0.0,-0.0,-0.0]",0.39655966225988515,0.21105733123410464,0.06092213390688114,19
s30screen_e5f4a47d18763ba7,screen,nominal_01_s22g004_b034e7d0314c08d6,s22g004_b034e7d0314c08d6,corner,mode2_plus_pulse,screen_template,"[-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.45482312695900334,-0.09082680381592896,-0.027632863323022824,-0.34111734521925247,-0.04812010286194672,-0.020724647492267115,-0.22741156347950167,-0.029413401907964487,-0.013816431661511412,-0.11370578173975084,-0.01870670095398224,-0.006908215830755706,-0.0,0.0,-0.0]",0.39525026808064095,0.21105733123410464,0.06092213390688114,20
s30screen_4f912b3c1aa0523d,screen,nominal_01_s22g004_b034e7d0314c08d6,s22g004_b034e7d0314c08d6,corner,mode2_minus_pulse,screen_template,"[-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.45482312695900334,-0.250826803815929,-0.027632863323022824,-0.34111734521925247,-0.2081201028619467,-0.020724647492267115,-0.22741156347950167,-0.14141340190796448,-0.013816431661511412,-0.11370578173975084,-0.06670670095398223,-0.006908215830755706,-0.0,-0.0,-0.0]",0.3959658359673506,0.21105733123410464,0.06092213390688114,21
s30screen_5fa24c2040fdb8f1,screen,nominal_01_s22g004_b034e7d0314c08d6,s22g004_b034e7d0314c08d6,corner,coupled_cross_pulse,screen_template,"[-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.3748231269590033,-0.250826803815929,-0.012632863323022825,-0.26111734521925245,-0.2081201028619467,-0.005724647492267115,-0.17141156347950168,-0.14141340190796448,-0.0033164316615114132,-0.08970578173975083,-0.06670670095398223,-0.0024082158307557064,0.0,-0.0,0.0]",0.39510510410392385,0.21116460507151644,0.06092213390688114,22
s30screen_0eddf7a6f4d1dea1,screen,nominal_01_s22g004_b034e7d0314c08d6,s22g004_b034e7d0314c08d6,corner,opposite_cross_pulse,screen_template,"[-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.5348231269590034,-0.09082680381592896,-0.042632863323022824,-0.4211173452192525,-0.04812010286194672,-0.035724647492267114,-0.2834115634795017,-0.029413401907964487,-0.02431643166151141,-0.13770578173975084,-0.01870670095398224,-0.011408215830755707,-0.0,0.0,-0.0]",0.396316111325864,0.21116460507151644,0.06092213390688114,23
s30screen_0a1b42cca6a67c14,screen,nominal_02_s22g005_fe6e232ce2c851ad,s22g005_fe6e232ce2c851ad,corner,hold_last,screen_template,"[-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.5951009586987541,-0.1869614547699112,-0.04516989915377853]",0.40497851158985787,0.20950808473932,0.0572525731595202,24
s30screen_dc4b4c2978d3d40a,screen,nominal_02_s22g005_fe6e232ce2c851ad,s22g005_fe6e232ce2c851ad,corner,zero_after_100,screen_template,"[-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.39331251742569917,0.2142177632779518,0.0572525731595202,25
s30screen_5dc6f09b99814629,screen,nominal_02_s22g005_fe6e232ce2c851ad,s22g005_fe6e232ce2c851ad,corner,linear_ramp_zero,screen_template,"[-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.4760807669590033,-0.14956916381592897,-0.036135919323022826,-0.35706057521925244,-0.1121768728619467,-0.027101939492267118,-0.23804038347950165,-0.07478458190796448,-0.018067959661511413,-0.11902019173975083,-0.03739229095398224,-0.009033979830755707,-0.0,-0.0,-0.0]",0.39614368908305464,0.21045845214120573,0.0572525731595202,26
s30screen_4ab8906cfa62d081,screen,nominal_02_s22g005_fe6e232ce2c851ad,s22g005_fe6e232ce2c851ad,corner,fast_ramp_zero,screen_template,"[-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.29755047934937706,-0.0934807273849556,-0.022584949576889266,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",0.39390402293963783,0.21187601052850072,0.0572525731595202,27
s30screen_1b4ff2ae0b1d5cd1,screen,nominal_02_s22g005_fe6e232ce2c851ad,s22g005_fe6e232ce2c851ad,corner,slow_ramp_zero,screen_template,"[-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.5355908628288787,-0.16826530929292008,-0.04065290923840068,-0.4463257190240656,-0.14022109107743339,-0.0338774243653339,-0.3273055272843148,-0.10282880012345116,-0.024843444534578193,-0.20828533554456394,-0.06543650916946891,-0.015809464703822485,-0.08926514380481311,-0.028044218215486676,-0.0067754848730667795]",0.3975985624377565,0.21023312888878942,0.0572525731595202,28
s30screen_4d99431f7e8c7fad,screen,nominal_02_s22g005_fe6e232ce2c851ad,s22g005_fe6e232ce2c851ad,corner,continue_slope_decay,screen_template,"[-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.5079985191922541,0.017214337513309114,-0.08680533069244524,-0.46444729943900415,0.11930223365491927,-0.10762304646177859,-0.4426716895623791,0.17034618172572435,-0.11803190434644527,-0.43178388462406664,0.1958681557611269,-0.1232363332887786,-0.42633998215491037,0.20862914277882816,-0.12583854775994527]",0.40067407093784735,0.21033376470696294,0.0572525731595202,29
