stage,phase,candidate_id,nominal_id,source_candidate_id,nominal_category,source_name,source_type,control_vector,sqp_center_candidate_id,sqp_profile,sqp_endpoint_step,sqp_step_scale,sqp_request_index,sqp_solver_success,sqp_solver_message,predicted_linear_objective,predicted_max_violation,predicted_sum_violation,predicted_l2_violation,predicted_position_box_m,predicted_endpoint_speed_m_per_s,predicted_late_speed_m_per_s,trust_scale,trust_boundary_fraction,unavailable_jacobian_variables_frozen,population_index
Stage3.1,round_001_steps,s31r001s_253b4f23396b6393,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_position_e14_s1.5,real_tsc_sqp_step,"[-0.3153015723001298,-0.02190476986892892,0.24226953343592383,0.060406548181889896,0.7413625036218754,0.2979804246401969,0.9214999999999979,0.7706891380312684,-0.00863441513281344,0.26389999999999947,0.26390000000000025,0.24064864180149403,0.3075999999999991,-0.009175428901722738,0.3650249999999999,0.3076000000000002,-0.7324000000000004,0.45626791491114393,0.08377257688794859,-0.7323999999999999,0.45984071874292864]",s31r000s_6090307a93683d00,position,14,1.5,12,True,Optimization terminated successfully,6.575565667433083,0.03868215398545072,0.04658062357353043,0.03948030976053685,0.03116046461956352,0.07900453962726257,0.05097577592248994,1.35,1.5000000000000002,[],12
Stage3.1,round_001_steps,s31r001s_8fd81934c26f4bed,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_position_e15_s1.5,real_tsc_sqp_step,"[-0.3153015723001298,-0.021904769868929086,0.24226953343592372,0.060406548181889896,0.7413625036218756,0.2979804246401969,0.9214999999999991,0.7874395968077805,-0.01639373223780221,0.26389999999999947,0.26389999999999975,0.14596186690376187,0.3075999999999992,-0.009175428901722738,0.365025,0.3075999999999999,-0.7324000000000005,0.4622249999999957,0.08377257688794898,-0.7323999999999997,0.45984071874292176]",s31r000s_6090307a93683d00,position,15,1.5,13,True,Optimization terminated successfully,6.532776018811254,0.035230100313911716,0.08642329959443518,0.04598631519977885,0.031056903009417353,0.10170643997601746,0.07135006896975311,1.35,1.5000000000000002,[],13
Stage3.1,round_001_steps,s31r001s_d7e8b44905668579,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_damping_e15_s1.0,real_tsc_sqp_step,"[-0.3693015723001297,-0.07590476986892894,0.22336953343592367,-0.020593451818110092,0.45082998167067845,0.2433126264998159,0.5162603250743909,0.29799999999999993,0.02840000000000003,0.4123999999999993,0.41239999999999977,0.36349999999999993,0.46959999999999885,0.15282457109827724,0.30765,0.4696000000000003,-0.5704000000000004,0.17534999999999992,0.24577257688794868,-0.5704000000000001,0.26337102877063545]",s31r000s_6090307a93683d00,damping,15,1.0,14,True,Optimization terminated successfully,2.5845088247909014,0.0629572086718364,0.0629572086718364,0.0629572086718364,0.03188871626015509,0.045375720924209474,0.04115427816089529,1.35,1.0,[],14
Stage3.1,round_001_steps,s31r001s_77e77f6cafa9004f,nominal_07_s22g005_a2acc95ca222cec3,s22g005_a2acc95ca222cec3,position_front,center_s31r000s_1f055c7367e92f0b_balanced_e12_s0.5,real_tsc_sqp_step,"[-0.5159225352838188,-0.4277098613907683,0.10505247725296163,-0.22977844169390355,0.05411415994579297,-0.12147263466342241,0.3914999999999994,0.3914999999999983,-0.14137499999999914,0.47849999999999804,0.4784999999999978,-0.06599999999999893,0.5219999999999979,0.3657550847496807,-0.0701250000000001,0.5201396702276605,0.19800000000000095,-0.07012500000000033,0.40298990658488326,0.23136184915596433,-0.07898222507551156]",s31r000s_1f055c7367e92f0b,balanced,12,0.5,0,True,Optimization terminated successfully,4.025132188859275,0.2844174043537293,0.47976128744697166,0.32642692332369266,0.03465113094174528,0.12844174043537293,0.08961201238915413,1.35,0.5000000000000003,[],15
Stage3.1,round_001_steps,s31r001s_1b17323519f5c1cd,nominal_07_s22g005_a2acc95ca222cec3,s22g005_a2acc95ca222cec3,position_front,center_s31r000s_1f055c7367e92f0b_balanced_e12_s1.0,real_tsc_sqp_step,"[-0.4619225352838189,-0.37370986139076834,0.12395247725296163,-0.14877844169390356,0.13511415994579296,-0.14982263466342235,0.5129999999999993,0.5129999999999982,-0.18524999999999914,0.626999999999998,0.6269999999999978,-0.011999999999998928,0.6839999999999979,0.3715101694993641,-0.012750000000000206,0.680279340455321,0.03600000000000192,-0.012750000000000636,0.4459798131697665,0.10272369831192868,-0.0304644501510231]",s31r000s_1f055c7367e92f0b,balanced,12,1.0,1,True,Optimization terminated successfully,3.6877706599107936,0.14242386865370804,0.25501073639771277,0.18154988612140383,0.033377606032320144,0.11424238686537082,0.0833118750994922,1.35,1.0,[],16
Stage3.1,round_001_steps,s31r001s_bbb281e8d8bbe3d2,nominal_07_s22g005_a2acc95ca222cec3,s22g005_a2acc95ca222cec3,position_front,center_s31r000s_1f055c7367e92f0b_balanced_e12_s1.5,real_tsc_sqp_step,"[-0.40792253528381883,-0.3197098613907684,0.14285247725296163,-0.06777844169390357,0.21611415994579294,-0.1781726346634223,0.6344999999999994,0.6344999999999981,-0.22912499999999913,0.7754999999999981,0.7754999999999979,0.04200000000000109,0.8459999999999979,0.37726525424904744,0.04462499999999969,0.8404190106829815,-0.12599999999999711,0.044624999999999054,0.48896971975464976,-0.025914452532107002,0.018053324773465357]",s31r000s_1f055c7367e92f0b,balanced,12,1.5,2,True,Optimization terminated successfully,3.533536810286426,0.08355824828267377,0.08563456518304546,0.08358404122761548,0.032506747448480214,0.10020763169003719,0.07732087280508763,1.35,1.5000000000000002,[],17
Stage3.1,round_001_steps,s31r001s_29740afefdc4d05a,nominal_07_s22g005_a2acc95ca222cec3,s22g005_a2acc95ca222cec3,position_front,center_s31r000s_1f055c7367e92f0b_balanced_e13_s0.5,real_tsc_sqp_step,"[-0.5159225352838193,-0.4277098613907683,0.1050524772529616,-0.22977844169390355,0.05411415994579298,-0.12147263466342241,0.39149999999999946,0.3914999999999984,-0.14137499999999914,0.4784999999999981,0.4784999999999978,-0.06599999999999893,0.5219999999999979,0.36986585909346287,-0.07012499999999999,0.5219999999999996,0.19800000000000048,-0.07012499999999999,0.4003658676957707,0.22027852378236534,-0.07423849286439206]",s31r000s_1f055c7367e92f0b,balanced,13,0.5,3,True,Optimization terminated successfully,4.0977841186946184,0.28159380445822757,0.4374923885316544,0.3214315843423585,0.03464974547017865,0.12815938044582276,0.10009070684008052,1.35,0.5000000000000001,[],18
Stage3.1,round_001_steps,s31r001s_bb36a4ba1e672a84,nominal_07_s22g005_a2acc95ca222cec3,s22g005_a2acc95ca222cec3,position_front,center_s31r000s_1f055c7367e92f0b_balanced_e13_s1.0,real_tsc_sqp_step,"[-0.4619225352838197,-0.3737098613907682,0.12395247725296159,-0.14877844169390356,0.13511415994579298,-0.14982263466342235,0.5129999999999995,0.5129999999999983,-0.18524999999999914,0.6269999999999981,0.6269999999999978,-0.011999999999998928,0.6839999999999979,0.3797317181869284,-0.012749999999999984,0.683999999999999,0.036000000000000976,-0.012749999999999984,0.4407317353915414,0.0805570475647307,-0.02097698572878412]",s31r000s_1f055c7367e92f0b,balanced,13,1.0,4,True,Optimization terminated successfully,3.7011904167043035,0.11256298797391984,0.13275493668276295,0.1143597003068711,0.033376889639217595,0.10201919487088432,0.08612159052548161,1.35,1.0000000000000002,[],19
Stage3.1,round_001_steps,s31r001s_73cb083e2d90b518,nominal_07_s22g005_a2acc95ca222cec3,s22g005_a2acc95ca222cec3,position_front,center_s31r000s_1f055c7367e92f0b_balanced_e13_s1.5,real_tsc_sqp_step,"[-0.4079225352838201,-0.31970986139076824,0.14285247725296157,-0.06777844169390357,0.21611415994579297,-0.17817263466342229,0.6344999999999994,0.6344999999999984,-0.22912499999999913,0.7754999999999981,0.7754999999999979,0.04200000000000109,0.8459999999999979,0.3895975772803939,0.044625000000000026,0.8459999999999985,-0.12599999999999856,0.044625000000000026,0.48109760308731214,-0.059164428652903944,0.03228452140682381]",s31r000s_1f055c7367e92f0b,balanced,13,1.5,5,True,Optimization terminated successfully,3.518870070591491,0.08352242862754666,0.08352242862754666,0.08352242862754666,0.0325056728588264,0.07719010406650492,0.0730384345586215,1.35,1.5000000000000002,[],20
Stage3.1,round_001_steps,s31r001s_c705ed056fe97d14,nominal_07_s22g005_a2acc95ca222cec3,s22g005_a2acc95ca222cec3,position_front,center_s31r000s_1f055c7367e92f0b_balanced_e14_s0.5,real_tsc_sqp_step,"[-0.5159225352838188,-0.42770986139076833,0.10505247725296163,-0.22977844169390355,0.054114159945792925,-0.12147263466342242,0.3914999999999994,0.3914999999999984,-0.14137499999999914,0.47849999999999804,0.4784999999999978,-0.06599999999999896,0.5219999999999977,0.3759283171527152,-0.07012500000000012,0.522,0.19799999999999998,-0.07012500000000005,0.39649696755464,0.2041491895576145,-0.07012499999999999]",s31r000s_1f055c7367e92f0b,balanced,14,0.5,6,True,Optimization terminated successfully,4.344570027438626,0.1549369577835642,0.258272406615599,0.18623553869373063,0.034648108733506926,0.09313340155609795,0.11033354488320349,1.35,0.5000000000000003,[],21
