direction_index,theta_rad,R,Z,Ip,support
28,2.443460952792061,0.6600853369894831,0.14954905971778576,29873.632098968395,-0.40952642175824644
29,2.530727415391778,0.6562922097005943,0.14496293357111908,29853.079192301728,-0.45445578238646567
30,2.617993877991494,0.6488822505005943,0.1336688464111191,30354.43915230173,-0.49511408979277277
31,2.705260340591211,0.643530321967261,0.12403663409111909,30152.9434989684,-0.5308163953013751
32,2.792526803190927,0.642870648367261,0.12244152417111909,29928.5194589684,-0.5622233367445482
33,2.879793265790644,0.6382362655672609,0.10658255477111908,29333.676725635065,-0.5889032971352576
34,2.9670597283903604,0.6316836346339274,0.0808526505622302,29501.827943412838,-0.6080470254087502
35,3.0543261909900767,0.6314715781005941,0.0789880052022302,29415.502241190617,-0.6221843798378832
36,3.141592653589793,0.6303222466078646,0.05859392780499871,29288.542562988518,-0.6303222466078646
37,3.2288591161895095,0.630746230759627,0.05315890571396223,29301.184866167456,-0.6329791548352462
38,3.316125578789226,0.6328648360771839,0.03584564476221429,29355.185461031597,-0.6294747280678655
39,3.4033920413889422,0.6331618484771839,0.03447025532221429,29359.3494610316,-0.6205089402319733
40,3.490658503988659,0.637679357277184,0.02000915940221426,29038.095261031598,-0.6060661220274421
41,3.577924966588375,0.6419300507882951,0.009996533326658688,29395.057576587158,-0.5860109213002098
42,3.6651914291880923,0.6455149686105173,0.002877376717769803,29612.203785476046,-0.5604710496987073
43,3.752457891787808,0.6481865056327395,-0.0013921742377857454,29856.55218547604,-0.5301647828315079
44,3.8397243543875246,0.6587380196327394,-0.015770578357785767,29369.95262547605,-0.49448546704488505
45,3.9269908169872414,0.6592418876327394,-0.016317562797785762,29720.718785476052,-0.45461614988057847
46,4.014257279586958,0.6593920808327394,-0.016458270157785768,29899.238025476054,-0.41124129308698726
47,4.101523742186675,0.6593920808327394,-0.016458270157785768,29899.238025476054,-0.3647299342369326
48,4.1887902047863905,0.6593920808327394,-0.016458270157785768,29899.238025476054,-0.31544276035738017
49,4.276056667386107,0.6815138925216281,-0.02743938531778578,29066.292292142723,-0.2631516880246203
50,4.363323129985824,0.6816566337216282,-0.027505687837785772,28872.24289214272,-0.20729340767355603
51,4.4505895925855405,0.6942599888771838,-0.031117033313341327,29411.63008769828,-0.14963096125922562
52,4.537856055185257,0.7029397208771837,-0.033060571113341305,30067.202207698272,-0.08950589478859364
53,4.625122517784973,0.7054850068771836,-0.033434998953341316,30592.219767698276,-0.028179301083696047
54,4.71238898038469,0.7057451820771836,-0.03344543219334131,30892.474527698276,0.03344543219334118
55,4.799655442984406,0.7057451820771836,-0.03344543219334131,30892.474527698276,0.09482790776091159
56,4.886921905584122,0.7057735632771837,-0.033440822713341326,31208.137927698277,0.15548907458378391
57,4.974188368183839,0.7057735632771837,-0.033440822713341326,31208.137927698277,0.21496899401717434
58,5.061454830783556,0.7057735632771837,-0.033440822713341326,31208.137927698277,0.2728128696042671
59,5.148721293383272,0.7065403020771837,-0.033110803353341337,30834.342127698274,0.3286054132277801
60,5.235987755982988,0.7166889588771838,-0.02787610811334132,30346.04684769828,0.3824858972233865
61,5.323254218582705,0.7322986462994059,-0.018103931766674644,30098.64318103161,0.4348591206054483
62,5.410520681182422,0.7335704718994059,-0.01706442896667465,30306.29466103161,0.4846021211537654
63,5.497787143782138,0.7382472598994059,-0.012727951966674644,30900.67470103161,0.5310196648135097
64,5.585053606381854,0.747545073010517,-0.002492255117785766,31587.706901031605,0.5742547398705676
65,5.672320068981571,0.7513382002994058,0.0020938710288809226,31608.259807698272,0.6142592276447458
66,5.759586531581288,0.7587481594994058,0.01338795818888093,31106.89984769827,0.6504012021067322
67,5.8468529941810035,0.7641000880327391,0.023020170508880916,31308.3955010316,0.6827811154140232
68,5.934119456780721,0.7647597616327391,0.02461528042888092,31532.8195410316,0.7102201829399878
69,6.021385919380437,0.7693941444327392,0.040474249828880926,32127.662274364935,0.7327021680112126
70,6.1086523819801535,0.7759467753660727,0.0662041540377698,31959.511056587162,0.7526621696026911
71,6.19591884457987,0.776158831899406,0.0680687993977698,32045.836758809382,0.7672727264458167
