variable_local_index,variable_full_index,step,mode,method,n_samples,denominator,sample_candidate_ids,sample_values
59,59,19,2,local_least_squares,3,3.2e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_1cc5fed66389b179"",""s32cr000p_28ed58e21f58d2fc""]","[-0.015,-0.019,-0.011]"
60,60,20,0,local_least_squares,3,0.0003920000000000007,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_a31a43de932ec50f"",""s32cr000p_84af565117a987c2""]","[-0.1991253391949117,-0.21312533919491172,-0.1851253391949117]"
61,61,20,1,local_least_squares,3,0.00039199999999999993,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_c24a94e278fd2ba6"",""s32cr000p_6cf5c4aa97e04de5""]","[-0.04499999999999993,-0.05899999999999993,-0.03099999999999993]"
62,62,20,2,local_least_squares,3,5.000000000000009e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_db2f34d83ce4be6e"",""s32cr000p_3efb6cf27e3cae82""]","[0.07500042670153008,0.07000042670153007,0.08000042670153008]"
63,63,21,0,local_least_squares,3,0.000392,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_e4a7929c03d347bc"",""s32cr000p_e0f54e8b29852cb3""]","[0.01484548721785317,0.0008454872178531702,0.02884548721785317]"
64,64,21,1,local_least_squares,3,0.0003920000000000007,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_4bf6f4023d7759e5"",""s32cr000p_4b3f2e926ee9be34""]","[-0.3471300973687731,-0.3611300973687731,-0.3331300973687731]"
65,65,21,2,local_least_squares,3,5.000000000000009e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_a7f096ad730946ec"",""s32cr000p_6f1c1765488732fe""]","[0.15750000000000003,0.15250000000000002,0.16250000000000003]"
66,66,22,0,local_least_squares,3,0.00039199999999999993,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_d25d77d96c3d8a79"",""s32cr000p_ff755791f3f90b80""]","[0.04507361398535806,0.03107361398535806,0.059073613985358056]"
67,67,22,1,local_least_squares,3,0.000392,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_aeceee3378c17984"",""s32cr000p_718c8c671f81dd88""]","[0.01128223188424829,-0.002717768115751711,0.025282231884248288]"
68,68,22,2,local_least_squares,3,5.000000000000009e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_6744bc8fa2f63d71"",""s32cr000p_f30d2aa92ff1a19c""]","[0.07327460942653245,0.06827460942653245,0.07827460942653246]"
69,69,23,0,local_least_squares,3,0.00039199999999999993,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_d07a303230fbd620"",""s32cr000p_4fcf76ae77b80b0b""]","[0.03292564825615048,0.01892564825615048,0.046925648256150476]"
70,70,23,1,local_least_squares,3,0.0003919999999999999,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_67f5c088d525be65"",""s32cr000p_251aaed24c4f707c""]","[0.0898852507822189,0.0758852507822189,0.1038852507822189]"
71,71,23,2,local_least_squares,3,5.000000000000001e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_fd76cee63c173af0"",""s32cr000p_9cf50dfaf0840efa""]","[-0.003937336584220397,-0.008937336584220398,0.0010626634157796027]"
72,72,24,0,local_least_squares,3,0.0003920000000000001,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_2117a7a8fd4d8c20"",""s32cr000p_73716a97597eb0a4""]","[0.01960896961420761,0.0056089696142076085,0.03360896961420761]"
73,73,24,1,local_least_squares,3,0.0003920000000000001,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_1b3dd04fd33503a8"",""s32cr000p_0b94870b433e5dc4""]","[0.0587203843804233,0.0447203843804233,0.0727203843804233]"
74,74,24,2,local_least_squares,3,4.9999999999999996e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_1dbb7ada87a6e396"",""s32cr000p_9125a7fcccc2f9c1""]","[-0.011737417610397852,-0.01673741761039785,-0.006737417610397852]"
